GROUPNAME,,Rule ID,Level,SID,PCRE2,DESCRIPTION,GROUP,,
mcafee,,7500,0,18101,18102,18103,windows, ^McLogEvent, Grouping of McAfee Windows AV rules.]
,,7501,2,7500, $MCAFEE_INFO, McAfee Windows AV informational event.],,,
,,7502,3,7500, $MCAFEE_WARN, McAfee Windows AV warning event.],,,
,,7503,4,7500, $MCAFEE_ERROR, McAfee Windows AV error event.],,,
,,7504,12,7500, $MCAFEE_VIRUS, virus, McAfee Windows AV - Virus detected and not removed.],,
,,7505,7,7504, $MCAFEE_VIRUS_OK, virus, McAfee Windows AV - Virus detected and properly removed.],,
,,7506,7,7504, Will be deleted, virus, McAfee Windows AV - Virus detected and file will be deleted.],,
,,7507,3,7500, scan started|scan stopped, McAfee Windows AV - Scan started or stopped.],,,
,,7508,3,7501, ^257, completed\.  No detections, McAfee Windows AV - Scan completed with no viruses found.],,
,,7509,5,7500, scan was cancelled |has taken too long, McAfee Windows AV - Virus scan cancelled.],,,
,,7510,5,7500, scan was canceled because, McAfee Windows AV - Virus scan cancelled due to shutdown.],,,
,,7511,3,7500, update was successful, McAfee Windows AV - Virus program or DAT update succeeded.],,,
,,7512,7,7500, update failed, McAfee Windows AV - Virus program or DAT update failed.],,,
,,7513,7,7500, update was cancelled, McAfee Windows AV - Virus program or DAT update cancelled.],,,
,,7514,5,7505, contains the EICAR test file, alert_by_email, McAfee Windows AV - EICAR test file detected.],,
,,7550,10,7502, Multiple McAfee AV warning events.],,,,
