GROUPNAME,,Rule ID,Level,SID,PCRE2,DESCRIPTION,GROUP,
web,"appsec, attack",31501,6,31100, POST /.*(?:Googlebot|MSNBot|BingBot), <url_pcre2>/wp-comments-post\.php</url_pcre2>, WordPress Comment Spam (coming from a fake search engine UA).],
,,31502,6,31100, <url_pcre2>thumb\.php|timthumb\.php</url_pcre2>,"  ""GET \S+thumb\.php\?src=\S+\.php", TimThumb vulnerability exploit attempt.],
,,31503,6,31100, <url_pcre2>login\.php</url_pcre2>,"  ""POST /\S+\.php/login\.php\?cPath=", osCommerce login.php bypass attempt.],
,,31504,6,31100, <url_pcre2>login\.php</url_pcre2>, /admin/[A-Za-z0-9@_-]+\.php/login\.php, osCommerce file manager login.php bypass attempt.],
,,31505,6,31100, <url_pcre2>/cache/external</url_pcre2>,"  ""GET /\S+/cache/external\S+\.php", TimThumb backdoor access attempt.],
,,31506,6,31100, <url_pcre2>cart\.php</url_pcre2>,"  ""GET /\S+cart\.php\?\S+templatefile=\.\./", Cart.php directory transversal attempt.],
,,31507,6,31100, <url_pcre2>DECLARE%20@S%20CHAR|%20AS%20CHAR</url_pcre2>, MSSQL Injection attempt (ur.php, urchin.js).],
,,31508,6,31100,"  ""ZmEu""| ""libwww-perl/|""the beast""|""Morfeus|""ZmEu|""Nikto|""w3af\.sourceforge\.net|MJ12bot/v| Jorgee""|""Proxy Gear Pro|""DataCha0s", Blacklisted user agent (known malicious user agent).],,
,,31509,3,31108, <url_pcre2>wp-login\.php|/administrator</url_pcre2>," \] ""POST \S+wp-login\.php| ""POST /administrator", CMS (WordPress or Joomla) login attempt.],
,,31510,8,31509, , CMS (WordPress or Joomla) brute force attempt.],,
,,31511,0,31100," "" ""Wget/", Blacklisted user agent (wget).],,
,,31512,6,31100, <url_pcre2>uploadify\.php</url_pcre2>,"  ""GET /\S+/uploadify\.php\?src=http://\S+\.php", Uploadify vulnerability exploit attempt.],
,,31513,6,31100, <url_pcre2>delete\.php</url_pcre2>,"  ""GET \S+/delete\.php\?board_skin_path=http://\S+\.php", BBS delete.php exploit attempt.],
,,31514,6,31100, <url_pcre2>shell\.php</url_pcre2>,"  ""GET \S+/shell\.php\?cmd=", Simple shell.php command execution.],
,,31515,6,31100, <url_pcre2>phpMyAdmin/scripts/setup\.php</url_pcre2>, PHPMyAdmin scans (looking for setup.php).],,
,,31516,6,31100, <url_pcre2>\.swp$|\.bak$|/\.htaccess|/server-status|/\.ssh|/\.history|/wallet\.dat</url_pcre2>, Suspicious URL access.],,
,,31530,3,31100," \] ""POST ", no_log, POST request received.],
,,31531,0,31530, <url_pcre2>/wp-admin/|/administrator/|/admin/</url_pcre2>, Ignoring often post requests inside /wp-admin and /admin.],,
,,31533,10,31530, , High amount of POST requests in a small period of time (likely bot).],,
,,31550,6,31100, <url_pcre2>%00</url_pcre2>,"  ""GET /\S+\.php\?\S+%00", Anomaly URL query (attempting to pass null termination).],
